satou.tatsuya,2017/08/09 1:02:36,'左クリック',1
satou.tatsuya,2017/08/09 1:02:37,'左クリック',1
satou.tatsuya,2017/08/09,1:02:38,'C',1
satou.tatsuya,2017/08/09,1:02:38,'A',1
satou.tatsuya,2017/08/09,1:02:38,'S',1
satou.tatsuya,2017/08/09,1:02:38,'C',1
satou.tatsuya,2017/08/09,1:02:38,'A',1
satou.tatsuya,2017/08/09,1:02:38,'D',1
satou.tatsuya,2017/08/09,1:02:38,'V',1
satou.tatsuya,2017/08/09,1:02:38,'caps lock',1
satou.tatsuya,2017/08/09,1:02:38,'E',1
satou.tatsuya,2017/08/09,1:02:38,'B',1
satou.tatsuya,2017/08/09,1:02:38,'A',1
satou.tatsuya,2017/08/09,1:02:38,'D',1
satou.tatsuya,2017/08/09,1:02:38,'T',1
satou.tatsuya,2017/08/09,1:02:39,'B',1
satou.tatsuya,2017/08/09,1:02:39,'H',1
satou.tatsuya,2017/08/09,1:02:39,'A',1
satou.tatsuya,2017/08/09,1:02:39,'E',1
satou.tatsuya,2017/08/09,1:02:39,'B',1
satou.tatsuya,2017/08/09,1:02:39,'W',1
satou.tatsuya,2017/08/09,1:02:39,'R',1
satou.tatsuya,2017/08/09 1:02:39,'左クリック',1
satou.tatsuya,2017/08/09 1:02:40,'左クリック',1
satou.tatsuya,2017/08/09 1:02:42,'左クリック',1
satou.tatsuya,2017/08/09 1:03:53,'左クリック',1
satou.tatsuya,2017/08/09 1:03:54,'左クリック',1
satou.tatsuya,2017/08/09,1:03:55,'F',1
satou.tatsuya,2017/08/09,1:03:55,'S',1
satou.tatsuya,2017/08/09,1:03:56,'F',1
satou.tatsuya,2017/08/09,1:03:56,'V',1
satou.tatsuya,2017/08/09,1:03:56,'S',1
satou.tatsuya,2017/08/09,1:03:56,'D',1
satou.tatsuya,2017/08/09,1:03:56,'V',1
satou.tatsuya,2017/08/09,1:03:56,'A',1
satou.tatsuya,2017/08/09,1:03:56,'S',1
satou.tatsuya,2017/08/09,1:03:56,'D',1
satou.tatsuya,2017/08/09,1:03:56,'V',1
satou.tatsuya,2017/08/09,1:03:56,'A',1
satou.tatsuya,2017/08/09,1:03:56,'S',1
satou.tatsuya,2017/08/09,1:03:56,'D',1
satou.tatsuya,2017/08/09,1:03:56,'V',1
satou.tatsuya,2017/08/09 1:03:57,'左クリック',1
satou.tatsuya,2017/08/09 1:03:58,'左クリック',1
satou.tatsuya,2017/08/09 1:03:59,'左クリック',1
